,1,2,3,4,5,6,7,8,9,10
1,49.4,28.8,46.3,56.5,72.4,68.4,15,89.5,25.9,93.8
2,1.1,0.4,1.8,6.2,0.5,3.6,2.4,0,1.9,4.5
3,19.1,28.7,65.9,32.5,28.6,35.2,40.9,82.3,49.8,37.4
4,25.1,55.5,60.7,45.6,56.9,58.5,74.6,31.3,7.3,85.1
5,187.1,153.2,340.2,428.2,443.7,851.8,286,347.1,340.6,304.9
6,0,0,0,0,0,0,0.4,175.1,3.4,0.8
7,0,0,0,0,0,0,0,0,0,0
8,59.8,89.7,170.8,128.9,140.5,206.9,126.8,167.9,97.8,58.8
9,1.4,1.4,1.9,8.7,10.6,12,7.8,3.2,1.9,6.8
10,0,5.3,1.7,0,0.6,0,10,56.2,56.3,55.1
11,0,0,0,0,0,0,0,0,0,0
12,15.1,25.9,60.6,62.9,93.4,152.4,53.3,143.2,37,116.1
13,126.8,119.9,207.7,272,371.6,472.1,433.2,316.1,191.8,219.8
14,474.7,358.2,766.8,656.4,861.2,1150.4,213.6,220.8,155.9,192.6
15,0.5,0,0,4.3,0.1,2.7,0,7.9,0,0
16,0,0,0,0,0.9,0.1,0,0,12.8,0.1
17,716.8,994.9,1729,1756,1894.5,2784.2,2170.1,2570.4,1793.6,1566.2
18,0,0.9,0,0.4,0,1.7,293.1,655.5,328.6,554.8
19,1.9,3.2,0.9,5.3,1.2,0.2,13.6,0.1,1.9,0.1
20,456.3,533.6,866,1037,1232.1,1378.6,834.3,1067.5,691.9,551.9
21,35.5,26.4,82.3,69,69.6,70.9,28.1,83.8,30.1,59.4
22,23.1,24.6,69.1,46.5,56,160.9,108.7,74.1,49.2,91.1
23,0,0,0,0,0,0,0,0,0,0
24,28.3,50.1,69,58.7,35.8,84.5,41.2,16.6,45.1,71.3
25,0,0,0.1,0.6,4.6,0.1,0,0,0,4.3
26,16.9,40.2,83.3,77.7,95.3,100.3,49.2,56.6,16.9,53
27,32.7,20.2,49.1,74.7,52.9,54.5,16.9,2.3,74.1,128.5
28,79.7,69.5,110.3,117,163.9,144.8,329,262.4,630.2,683.1
29,2.7,2.5,4.3,3,3.3,3.8,2,4.4,4.9,5.9
30,4.1,5.3,1.6,0.3,1.3,6.3,0,2.7,0,5.1
31,0,1.6,0,0,0,0.1,3.6,0,0.3,0
32,21.9,25.9,37.8,37.1,41.3,47.3,46.4,69,81.5,98.6
33,91.7,87.4,214.9,230.7,294.2,332.4,166.5,325.4,129.6,191.8
34,0,0,0,0,0,0,0,0,0,0
35,26.3,30.8,101.7,74.3,125.8,108.9,20.5,13.2,20.2,12.2
36,43.4,58.9,123.4,134.1,130.5,115.3,260,287.5,144.1,247.5
37,42,25.9,43.9,60.7,72.2,149,1346,1252.2,297.8,687.7
38,300.8,445.7,767.6,819.6,1056.6,1219.7,348.6,504.7,213.3,314.2
39,24.9,23.3,32.3,31.1,22.1,29.2,17.4,35.3,57.8,39.7
40,0,0,0,0,0,0,0,0,0,0
41,42.3,55.5,96,61.1,80.2,118.6,95.2,130.8,90.1,80.3
42,0.5,0.7,4,12.2,21.7,46.8,0,0,1.3,0
43,78,72.5,108.8,142.6,194.5,203.1,228.8,153,202.7,345.3
44,0,0,0,0,0.1,0,9.7,13.4,6.7,7.5
45,55.3,47.9,66.4,105.7,74.4,109.8,58.3,122.7,47.2,60
46,3.4,1,2.6,0.3,9.5,4.9,0,0.7,5.2,0
47,5.1,2.4,26.1,19.2,17.5,25.3,11.5,84.3,1.4,22.2
48,12891.9,14441.5,19810.4,22010.7,26225.2,30016.7,22108.3,31590.5,29931.9,41680.3
49,142.9,160.4,257.8,204.4,266,255.2,175.9,342.9,262,346.1
50,5.7,8.3,12.6,20.6,24.8,42.3,9.4,1.1,4.4,6.9
51,350.1,462.5,805.4,957.6,1020.6,1279.2,464.6,355.6,525.4,632.4
52,0,0,0,0,0,0,0,0,0,0
53,38.9,49.8,27.2,62.6,25.1,10.4,6.8,4.9,0,1.7
54,10.5,4.3,12.6,15.4,22.8,26.6,24.1,155.9,21.3,48.5
55,3.6,6.2,5.5,7.9,11.7,9.3,61.5,73.7,52.9,36.3
56,150.8,158,244.6,228.4,404.9,511.2,265.7,437.6,419.4,428.5
57,107.1,128.7,224.1,218.6,246.4,337.4,185.5,212.1,56.1,70
58,24,49.2,88.1,55.9,72.4,108.7,88.5,127.9,64.4,61.8
59,17.7,16.9,25.9,23.4,17.2,17.6,10.7,18.1,35.9,34.6
60,0,0,0,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0,0,0
62,11.6,6.1,37.8,30.7,54.8,50.7,12.2,13.5,0,0
63,272.6,295.9,490.2,480.2,508.4,799.9,157.8,157.6,146.3,140.1
64,0,0,0,0,0,0,0,0,0,0
65,0,0.1,0.1,1.5,1,0.2,0,0,0,0
66,6.8,17.9,25.6,25.1,24.1,59.2,56.7,7.5,22,18.9
67,89.1,71.2,255.3,118.2,196.4,268.3,225.7,213.3,144,73.9
68,0,1.1,0,0,0,0,0.1,0,0,0.2
69,141.5,192,453.3,310.6,259.7,467.8,182.5,276.9,154,224.3
70,0.4,0.2,2.4,10.1,3,0.5,12.6,14.7,6,13.8
71,169,185.5,285.7,355.1,295.1,492.5,117.9,102.7,73,138.7
72,507.7,624.9,1238.9,1242,1326.3,1703.8,1014.8,874.5,620.1,696.2
73,0,0,0,0,0,0,0,0,1,0
74,27,23.3,41.8,62.8,40.7,100.9,98.5,44.1,51.3,31.5
75,459.4,619.2,950.1,813.1,920.3,1331.2,517.8,651,527.5,673.8
76,867.9,1006.9,2017.1,1807.5,1817.7,2237,1526.3,1707.2,1192.4,1557.3
77,3.3,15.3,8.5,4.5,2,2.8,1.9,15.2,16.2,8.3
78,8,11.7,26.4,30.7,34.8,55.4,107.3,81.6,103,65.3
79,10.4,21.8,102,52.3,83.3,91.1,438,379.4,73,149.9
80,0,0,0,0,0,0,0,0,0,0
81,0,0,0,0,0,0,0,0,0,0
82,11.4,16.4,16.9,22.1,17.2,39.3,443.7,253.5,58.7,371.5
83,0,0,0,0,0,0,54.5,45.6,6.3,2
84,0,0,0.2,0,0,0,0,0,0,0
85,45.8,93.8,118.7,103.3,168.3,143.4,136,126.9,65.3,111.3
86,0,0,0,0,0,0,0,0,0,0
87,82.1,81.4,145.8,132.2,140.5,123.9,77.3,92,137.9,183.6
88,32.3,43.3,68.9,38.6,86.6,45.3,105.9,153.9,66.8,45.5
89,244.4,363.6,981.6,883.7,1435.4,1604.5,501.2,429,229.4,317.8
90,0,0,0,0,0,0,0,0,0,0
91,0,0,0,0,0,0,0,0,0,0
92,11.9,9.2,23.1,5.6,21.6,26.7,17.9,17.8,0.7,0.5
93,7.9,6.6,9.4,7.2,54.4,10.9,5.2,19,17.3,46.8
94,0,0,0,0,0,0,0,0,0,0
95,129,182.3,244.7,367,485.3,554.4,268,337.5,294.9,327.9
96,2,4.3,14.1,13.9,15.8,16.4,28.6,26.4,22.7,22.6
97,1.4,9.9,11.1,24.3,9.3,7.6,2.3,12,18.7,22.7
98,102.5,102.5,258.2,225.5,229.5,430,127,153.7,132.8,190.4
99,99.5,135.6,222,92.7,146.6,272.2,140.8,54.4,68,55.9
100,53.2,42.5,172.3,109.6,88.2,160.4,154.3,154.7,138.2,148.6
101,47.2,24,99.5,32.5,189.9,263.8,31.5,39.3,82.9,81.3
102,0,0.1,1.5,1.8,6.5,16.5,0.1,0,0,2.7
103,0.7,5.3,0,4,2,62.2,0.9,4.1,17.1,0.3
104,20.5,12.7,19.7,22.8,24.1,57.1,96.2,178.5,109.9,241.1
105,112.1,102.6,142.6,152.7,141.9,174.1,295.2,627.5,616.6,808.5
106,13.5,20.8,37,29.1,22.1,30.4,48.1,67.3,64.2,92.5
107,8.3,1.9,5.8,24.3,35.3,24.7,1.2,13.1,32.3,27.7
108,0,0,0,0,0,0,0,0,0,0
109,1329.8,1409.3,2529.6,2190.6,2743.1,3115.5,1212,1509.2,1113.4,1133.7
110,502.7,604.9,1086.7,1155.6,1540.8,1927.7,725.7,806.7,820.4,537.7
111,86.3,88.3,127.1,132.5,132.8,106.8,224.9,371.5,548.2,481.6
112,35.7,58.2,57.7,109.7,91.4,152.2,154.2,222.7,175.5,171.1
113,0,0,0,0,0,0,3.5,2.1,1.8,0.7
114,0.6,0.4,2.3,0.1,2.3,1.9,0,0,0.4,1.5
115,0.1,0.1,0.1,0.2,0.3,0.2,0.3,0,0.4,0.6
116,120.4,173.6,340.5,350.8,323.7,651.9,290.8,303.9,555.3,546.8
117,16.7,20.4,35.1,46.5,35.3,43.5,20.3,50.6,71.3,69
118,62.1,65.8,95.3,80.9,119.1,133.6,50.5,52.2,101.8,5.9
119,143.8,168.2,297.8,321.2,257.3,374.5,86.3,117.2,130.8,111.8
120,0.3,7.8,1,19.5,25.4,4.2,33.8,42.8,19.3,43.4
121,89.3,78.9,154.8,122.5,109.1,118.2,78.7,113,97.7,128.2
122,9.1,16.6,16.4,24,16.7,13.6,32.3,83.5,6.3,11.1
123,3.3,2.9,8.5,16.7,14.5,16.3,23.9,43.5,61.2,44.4
124,7.4,0.3,10.8,3,2.4,2.7,0,0,0,0
